variant,weeks,picks,avg_watchlist_size,median_watchlist_size,p95_watchlist_size,evaluable_picks_1w,opportunities_available_1w,opportunities_captured_1w,selection_coverage_1w,opportunity_recall_1w,non_actionable_opportunity_recall_1w,opportunities_per_review,big_winner_recall_1w,big_loser_inclusion_1w,winner_capture_lift_1w,loser_capture_lift_1w,median_return_1w_pct,median_mfe_1w_pct,median_mae_1w_pct,tradable_selection_coverage_1w,tradable_big_winner_recall_1w,tradable_big_loser_inclusion_1w,tradable_winner_capture_lift_1w,tradable_loser_capture_lift_1w,opp_severe_loser_exposure_1w,median_opp_return_1w_pct,median_opp_mfe_1w_pct,median_opp_mae_1w_pct,selection_coverage_2w,big_winner_recall_2w,big_loser_inclusion_2w,winner_capture_lift_2w,loser_capture_lift_2w,median_return_2w_pct,median_mfe_2w_pct,median_mae_2w_pct,tradable_selection_coverage_2w,tradable_big_winner_recall_2w,tradable_big_loser_inclusion_2w,tradable_winner_capture_lift_2w,tradable_loser_capture_lift_2w,opp_severe_loser_exposure_2w,median_opp_return_2w_pct,median_opp_mfe_2w_pct,median_opp_mae_2w_pct,selection_coverage_3w,big_winner_recall_3w,big_loser_inclusion_3w,winner_capture_lift_3w,loser_capture_lift_3w,median_return_3w_pct,median_mfe_3w_pct,median_mae_3w_pct,tradable_selection_coverage_3w,tradable_big_winner_recall_3w,tradable_big_loser_inclusion_3w,tradable_winner_capture_lift_3w,tradable_loser_capture_lift_3w,opp_severe_loser_exposure_3w,median_opp_return_3w_pct,median_opp_mfe_3w_pct,median_opp_mae_3w_pct,selection_coverage_4w,big_winner_recall_4w,big_loser_inclusion_4w,winner_capture_lift_4w,loser_capture_lift_4w,median_return_4w_pct,median_mfe_4w_pct,median_mae_4w_pct,tradable_selection_coverage_4w,tradable_big_winner_recall_4w,tradable_big_loser_inclusion_4w,tradable_winner_capture_lift_4w,tradable_loser_capture_lift_4w,opp_severe_loser_exposure_4w,median_opp_return_4w_pct,median_opp_mfe_4w_pct,median_opp_mae_4w_pct,big_winner_recall_mean_2_4w,snapshot_winner_capture_lift_mean_2_4w,snapshot_loser_capture_lift_mean_2_4w,tradable_big_winner_recall_mean_2_4w,tradable_winner_capture_lift_mean_2_4w,tradable_loser_capture_lift_mean_2_4w,opp_severe_loser_exposure_mean_2_4w,snapshot_date
B0_ACTIONABLE_ONLY,1,1,1.0,1.0,1.0,1,12,1,0.07692307692307693,0.08333333333333333,0.0,1.0,0.16666666666666666,0.0,2.1666666666666665,0.0,1.2844352401895742,5.547281225838585,-0.9074889067015368,0.08333333333333333,0.16666666666666666,0.0,2.0,0.0,0.0,1.2561642270626505,5.517820346030433,-0.9351480991061423,0.07692307692307693,0.16666666666666666,0.0,2.1666666666666665,0.0,3.536853440072907,5.705507366086526,-0.9074889067015368,0.08333333333333333,0.16666666666666666,0.0,2.0,0.0,0.0,3.5079537208239753,5.676002321414564,-0.9351480991061423,0.07692307692307693,0.2,0.0,2.6,0.0,5.435588426271254,8.023077923782186,-0.9074889067015368,0.08333333333333333,0.16666666666666666,0.0,2.0,0.0,0.0,5.406158722710419,7.992925987339494,-0.9351480991061423,0.07692307692307693,0.16666666666666666,0.0,2.1666666666666665,0.0,2.857408437326203,8.274384947540092,-0.9074889067015368,0.08333333333333333,0.16666666666666666,0.0,2.0,0.0,0.0,2.8286983681310884,8.244162865036465,-0.9351480991061423,0.17777777777777778,2.3111111111111113,0.0,0.16666666666666666,2.0,0.0,0.0,2025-12-12
B0_ACTIONABLE_ONLY,1,5,5.0,5.0,5.0,2,15,2,0.09090909090909091,0.13333333333333333,0.0,1.0,0.0,0.16666666666666666,0.0,1.8333333333333333,-1.0659083576245065,1.1933586561744258,-6.566858520376723,0.13333333333333333,0.16666666666666666,0.0,1.25,0.0,0.0,0.5120008877540883,2.8145555315199133,-5.094879675534086,0.09090909090909091,0.0,0.16666666666666666,0.0,1.8333333333333333,-0.10070389925083689,3.517394721440381,-6.566858520376723,0.13333333333333333,0.2,0.0,1.5,0.0,0.0,1.505618117915486,5.1978381113660825,-5.094879675534086,0.09090909090909091,0.0,0.14285714285714285,0.0,1.5714285714285714,0.22942787664060882,3.517394721440381,-6.566858520376723,0.13333333333333333,0.16666666666666666,0.0,1.25,0.0,0.0,1.8391635350248514,5.1978381113660825,-5.094879675534086,0.09090909090909091,0.0,0.25,0.0,2.75,-9.02057763374548,3.517394721440381,-14.384061225012946,0.13333333333333333,0.16666666666666666,0.3333333333333333,1.25,2.5,1.0,-7.550377312064738,5.1978381113660825,-13.014450581121721,0.0,0.0,2.051587301587302,0.17777777777777778,1.3333333333333333,0.8333333333333334,0.3333333333333333,2026-01-09
B0_ACTIONABLE_ONLY,1,7,7.0,7.0,7.0,6,23,6,0.2222222222222222,0.2608695652173913,0.0,1.0,0.16666666666666666,0.3333333333333333,0.75,1.5,3.93905120989404,6.411733350337334,-3.2556318312503443,0.2608695652173913,0.4,0.4,1.5333333333333334,1.5333333333333334,0.0,3.489218602574784,5.95043019384216,-2.6417614401803515,0.2222222222222222,0.16666666666666666,0.2857142857142857,0.75,1.2857142857142858,4.223167771015069,7.579327458312113,-3.7559274646191634,0.2608695652173913,0.16666666666666666,0.6,0.6388888888888888,2.3,0.0,3.7730857017669983,7.113844581761031,-3.1395075517533675,0.2222222222222222,0.16666666666666666,0.14285714285714285,0.75,0.6428571428571429,4.273272288385554,7.579327458312113,-3.7559274646191634,0.2608695652173913,0.14285714285714285,0.2,0.5476190476190476,0.7666666666666667,0.0,3.8767521703007013,7.113844581761031,-3.1395075517533675,0.2222222222222222,0.2,0.125,0.9000000000000001,0.5625,4.4459716515957375,9.194743340439372,-3.7559274646191634,0.2608695652173913,0.16666666666666666,0.16666666666666666,0.6388888888888888,0.6388888888888888,0.0,3.969391307907555,9.089138172907251,-3.1395075517533675,0.17777777777777778,0.8000000000000002,0.8303571428571429,0.15873015873015872,0.6084656084656084,1.2351851851851852,0.0,2026-04-02
B0_ACTIONABLE_ONLY,1,9,9.0,9.0,9.0,7,25,7,0.16666666666666666,0.28,0.0,1.0,0.16666666666666666,0.3333333333333333,1.0,2.0,1.2471872967474429,2.9447441129731855,-2.2010917060193758,0.28,0.3333333333333333,0.3333333333333333,1.1904761904761902,1.1904761904761902,0.14285714285714285,1.212122533228488,2.399997711181645,-2.6500034332275435,0.16666666666666666,0.2,0.5,1.2000000000000002,3.0,-1.338267518891112,3.1218474966290044,-2.7645706453844343,0.28,0.2857142857142857,0.2857142857142857,1.020408163265306,1.020408163265306,0.2857142857142857,-1.0070692945284954,2.9090914375338173,-2.6500034332275435,0.16666666666666666,0.0,0.25,0.0,1.5,-1.0809780007065117,3.4239692058284588,-5.40446727286411,0.28,0.16666666666666666,0.375,0.5952380952380951,1.3392857142857142,0.2857142857142857,-1.398866072944971,2.9090914375338173,-5.437228380343617,0.16666666666666666,0.16666666666666666,0.3333333333333333,1.0,2.0,2.8061648098568703,3.6895913476612474,-7.9174407432947795,0.28,0.16666666666666666,0.36363636363636365,0.5952380952380951,1.2987012987012987,0.5714285714285714,2.7705601283482206,3.6536807105654656,-8.434297663794988,0.12222222222222223,0.7333333333333334,2.1666666666666665,0.2063492063492063,0.7369614512471654,1.219465058750773,0.38095238095238093,2026-04-10
B0_ACTIONABLE_ONLY,1,13,13.0,13.0,13.0,9,48,9,0.15789473684210525,0.1875,0.0,1.0,0.16666666666666666,0.0,1.0555555555555556,0.0,2.3754489707053406,4.7301449545165575,-5.3552894762132315,0.1875,0.2857142857142857,0.2222222222222222,1.5238095238095237,1.1851851851851851,0.2222222222222222,2.117846011615554,4.373757455268401,-5.5717293784920745,0.15789473684210525,0.14285714285714285,0.06666666666666667,0.9047619047619048,0.4222222222222222,1.8175130228137215,4.8902423991445065,-5.3552894762132315,0.1875,0.3333333333333333,0.15384615384615385,1.7777777777777777,0.8205128205128206,0.2222222222222222,-0.323193316635606,4.529130355712918,-5.5717293784920745,0.15789473684210525,0.0,0.05263157894736842,0.0,0.3333333333333333,1.9922207975920703,6.556583797055304,-5.3552894762132315,0.1875,0.16666666666666666,0.13333333333333333,0.8888888888888888,0.7111111111111111,0.2222222222222222,2.7917248801238026,6.517638667009273,-5.5717293784920745,0.15789473684210525,0.0,0.047619047619047616,0.0,0.30158730158730157,3.3003987910368737,8.818582555678777,-6.138318662345965,0.1875,0.0,0.125,0.0,0.6666666666666666,0.2222222222222222,3.0404684203154453,7.409821378478454,-6.323772256732186,0.047619047619047616,0.30158730158730157,0.3523809523809524,0.16666666666666666,0.8888888888888888,0.7327635327635328,0.2222222222222222,2026-04-17
B0_ACTIONABLE_ONLY,1,27,27.0,27.0,27.0,14,34,14,0.34146341463414637,0.4117647058823529,0.0,1.0,0.0,0.3333333333333333,0.0,0.976190476190476,0.6113862365599965,2.5288651022554176,-1.8002210802612828,0.4117647058823529,0.0,0.2,0.0,0.48571428571428577,0.07142857142857142,0.6631277704442051,2.7757483142604844,-2.3494706655519892,0.34146341463414637,0.14285714285714285,0.2,0.4183673469387755,0.5857142857142857,2.005512014435873,4.592581158127551,-2.1896702390480804,0.4117647058823529,0.14285714285714285,0.3333333333333333,0.3469387755102041,0.8095238095238095,0.14285714285714285,2.2729227946340247,4.607993286979495,-2.6270535870801472,0.34146341463414637,0.16666666666666666,0.18181818181818182,0.488095238095238,0.5324675324675324,-0.5313405365319879,5.065064220657122,-3.3268016572389145,0.4117647058823529,0.16666666666666666,0.2857142857142857,0.40476190476190477,0.6938775510204082,0.14285714285714285,-0.17910899025572746,5.002554448224162,-3.3700104417728305,0.34146341463414637,0.0,0.3076923076923077,0.0,0.9010989010989011,0.41288174061764327,5.269409260356516,-3.6500329257316833,0.4117647058823529,0.16666666666666666,0.5,0.40476190476190477,1.2142857142857144,0.14285714285714285,0.7146423448567307,5.206935032372961,-3.4795132546131424,0.10317460317460318,0.30215419501133783,0.6730935730935731,0.15873015873015872,0.3854875283446712,0.9058956916099774,0.14285714285714285,2026-04-24
B0_ACTIONABLE_ONLY,1,38,38.0,38.0,38.0,31,58,31,0.41333333333333333,0.5344827586206896,0.0,1.0,0.16666666666666666,0.36363636363636365,0.4032258064516129,0.8797653958944281,1.3600173535927684,3.092273630052733,-2.7551030951985633,0.5344827586206896,0.5714285714285714,0.3333333333333333,1.0691244239631337,0.6236559139784946,0.12903225806451613,1.4202121106803522,3.6609833314641183,-2.397256541392112,0.41333333333333333,0.14285714285714285,0.42857142857142855,0.3456221198156682,1.0368663594470044,0.15997183660321213,4.227521336111684,-3.5766758828706613,0.5344827586206896,0.625,0.38461538461538464,1.1693548387096775,0.7196029776674939,0.16129032258064516,0.36012517530241706,4.656921384704327,-3.1995920115843846,0.41333333333333333,0.14285714285714285,0.4,0.3456221198156682,0.967741935483871,2.5683852734875723,5.2091319366405875,-3.588656269807644,0.5344827586206896,0.42857142857142855,0.35714285714285715,0.8018433179723502,0.6682027649769586,0.16129032258064516,1.356482426322847,5.192165515537517,-3.7703806939332396,0.41333333333333333,0.3333333333333333,0.25,0.8064516129032258,0.6048387096774194,0.7430205600753803,5.575133893039297,-4.688272630811296,0.5344827586206896,0.5714285714285714,0.25,1.0691244239631337,0.467741935483871,0.16129032258064516,0.07635452996748171,5.192165515537517,-4.198617291596762,0.20634920634920637,0.4992319508448541,0.869815668202765,0.5416666666666666,1.0134408602150538,0.6185158927094412,0.16129032258064516,2026-05-01
B0_ACTIONABLE_ONLY,1,35,35.0,35.0,35.0,26,57,26,0.28888888888888886,0.45614035087719296,0.0,1.0,0.5,0.3333333333333333,1.7307692307692308,1.153846153846154,-2.5174684134137815,1.8460846795677943,-3.9979226317173877,0.45614035087719296,0.8571428571428571,0.36363636363636365,1.879120879120879,0.7972027972027973,0.15384615384615385,-1.887607078874487,1.6169168555206337,-3.9655005771720986,0.28888888888888886,0.3333333333333333,0.15625,1.153846153846154,0.5408653846153847,-0.4365138384192613,3.8057822101939087,-5.277232766080958,0.45614035087719296,0.5,0.3333333333333333,1.0961538461538463,0.7307692307692307,0.19230769230769232,0.20800445513261545,4.349051386541691,-5.163530153424623,0.28888888888888886,0.3333333333333333,0.18421052631578946,1.153846153846154,0.6376518218623483,0.0058627619596740566,4.359070367213991,-5.367142793696761,0.45614035087719296,0.5,0.35294117647058826,1.0961538461538463,0.7737556561085974,0.23076923076923078,0.1877472253547452,4.840885635222991,-5.297479225713381,0.28888888888888886,0.3333333333333333,0.175,1.153846153846154,0.6057692307692308,2.906623512237516,6.1025196094840695,-5.693730452134721,0.45614035087719296,0.5,0.3333333333333333,1.0961538461538463,0.7307692307692307,0.23076923076923078,2.668059267865097,7.034421811500446,-5.465193283507674,0.3333333333333333,1.153846153846154,0.5947621457489879,0.5,1.0961538461538463,0.7450980392156863,0.21794871794871798,2026-05-08
B0_ACTIONABLE_ONLY,1,22,22.0,22.0,22.0,15,25,15,0.3488372093023256,0.6,0.0,1.0,0.0,0.2222222222222222,0.0,0.637037037037037,-0.402029489319522,2.4436111678608485,-3.281086196216554,0.6,0.16666666666666666,0.3333333333333333,0.2777777777777778,0.5555555555555556,0.13333333333333333,-0.043453570425366905,2.553042204483691,-3.4142522057913682,0.3488372093023256,0.2857142857142857,0.3076923076923077,0.819047619047619,0.882051282051282,-2.2783528636077577,4.796671870778368,-4.9071793080932125,0.6,0.5,0.5,0.8333333333333334,0.8333333333333334,0.26666666666666666,-1.8833880823094007,4.056601254445202,-5.360153468081574,0.3488372093023256,0.3333333333333333,0.26666666666666666,0.9555555555555555,0.7644444444444444,0.924916448599955,5.051005575080247,-4.9071793080932125,0.6,0.42857142857142855,0.5555555555555556,0.7142857142857143,0.925925925925926,0.26666666666666666,1.2410072281308748,4.301538825837925,-5.360153468081574,0.3488372093023256,0.16666666666666666,0.2777777777777778,0.47777777777777775,0.7962962962962963,5.203765429195317,8.097594983614886,-4.9071793080932125,0.6,0.42857142857142855,0.5454545454545454,0.7142857142857143,0.9090909090909091,0.26666666666666666,4.995307441000918,7.174884391559511,-5.360153468081574,0.2619047619047619,0.7507936507936508,0.814264007597341,0.4523809523809524,0.753968253968254,0.8894500561167229,0.26666666666666666,2026-05-15
B0_ACTIONABLE_ONLY,1,16,16.0,16.0,16.0,12,46,12,0.2033898305084746,0.2608695652173913,0.0,1.0,0.16666666666666666,0.16666666666666666,0.8194444444444443,0.8194444444444443,-1.8665032542214688,2.376769880813945,-3.1794740673156574,0.2608695652173913,0.2857142857142857,0.2857142857142857,1.0952380952380951,1.0952380952380951,0.08333333333333333,-2.259586136514813,2.7499231806650704,-3.20607594618576,0.2033898305084746,0.14285714285714285,0.125,0.7023809523809523,0.6145833333333333,1.0722837496710547,3.3590923698362585,-3.426292913798379,0.2608695652173913,0.2857142857142857,0.2857142857142857,1.0952380952380951,1.0952380952380951,0.08333333333333333,0.6710677496744033,3.8512438889425016,-3.9171327987481463,0.2033898305084746,0.0,0.0,0.0,0.0,1.0660180850575518,5.937507093232963,-3.426292913798379,0.2608695652173913,0.14285714285714285,0.14285714285714285,0.5476190476190476,0.5476190476190476,0.08333333333333333,1.8713192654766675,5.236538723620265,-3.9171327987481463,0.2033898305084746,0.0,0.1111111111111111,0.0,0.5462962962962963,4.018073276548484,7.432155268278551,-4.296482080469621,0.2608695652173913,0.1111111111111111,0.14285714285714285,0.42592592592592593,0.5476190476190476,0.08333333333333333,5.2596732885679565,7.224953435600179,-4.982421830769907,0.047619047619047616,0.2341269841269841,0.38695987654320985,0.17989417989417988,0.689594356261023,0.7301587301587301,0.08333333333333333,2026-05-22
