code,snapshot_date,signal,signal_source,bf_watch_active,bf_watch_type,bf_watch_trigger_price,bf_watch_distance_pct,bf_watch_s_resistance,bf_watch_s_distance_pct,bf_watch_s_side,bf_watch_m_resistance,bf_watch_m_distance_pct,bf_watch_m_side,pullback_v_is_dry,ibd_candidate_rule,ibd_candidate_price,ibd_candidate_signal_source,ibd_candidate_extra,ibd_entry_valid,ibd_entry_date,ibd_entry_price,ibd_trigger_price,ibd_entry_volume_ratio,ibd_entry_close_vs_trigger_pct,ibd_entry_close_position,ibd_entry_breakout_range_ratio,ibd_entry_rule,ibd_entry_reject_reason,latest_close,current_vs_ibd_candidate_pct,ibd_entry_status,volume_ratio,hold_return,breakout_date,pct_above_ceiling,touched_ema10_count,mbox_count,ceiling,ceiling_date,base_depth_pct,base_mbox_count,base_duration_weeks,base_depth_abs,pullback_count,pullback_duration_weeks,pullback_pct,pullback_pct_off_peak,is_bullish,is_priority,eps_yoy_growth,price_52_week_high,dist_to_52w_high_pct,sector,industry,eps_yoy_growth_source,eps_yoy_growth_status,eps_yoy_growth_missing_reason,eps_growth_type
A,2026-09-25,True,ceiling_breakout,,,,,,,,,,,,ceiling,160.27,ceiling_breakout,,1.0,2026-09-22,163.08,160.27,1.7258099687235633,0.0436139015411491,0.9496567505720804,1.0663615560640691,ceiling,,172.79,7.81,EXTENDED,1.3869447782982287,0.0,2026-09-21,7.8,0,0,160.27,2024-05-13,-39.8,8,123,39.8,0,,,,True,True,8.498727735368943,174.77,-1.1329175487784005,Health Technology,Medical Specialties,TV_DIRECT,resolved,,
AAMI,2026-09-25,True,10_wk_ema_touch_confirm,,,,,,,,,,,False,ma10_touch_confirm,92.01,10_wk_ema_touch_confirm,"{""confirm_date"": ""2026-09-21"", ""ma10_prior_week"": 89.592, ""pending_high"": 92.01, ""touch_date"": ""2026-09-14""}",0.0,,,,,,,,,daily_volume_not_confirmed,93.88,2.03,UNCONFIRMED,0.7664163424800665,51.6,2026-04-06,66.8,2,0,56.295,2026-01-26,-18.6,1,10,18.6,5,5.0,-13.1,-4.7,True,False,171.860547847741,98.52,-4.709703613479499,Finance,Investment Managers,TV_DIRECT,resolved,,
AIT,2026-09-25,True,pivot,,,,,,,,,,,False,pivot,326.24,pivot,"{""pivot_candidates"": [{""box_type"": ""S_BOX"", ""price"": 326.24, ""resistance_date"": ""2026-09-21""}]}",0.0,,,,,,,,,daily_volume_not_confirmed,333.39,2.19,UNCONFIRMED,0.9145586267226112,10.0,2026-04-27,12.9,3,0,295.2552,2026-02-02,-15.0,1,12,15.0,4,7.0,-16.7,-11.0,True,False,13.22452769543944,374.8,-11.048559231590184,Distribution Services,Wholesale Distributors,TV_DIRECT,resolved,,
ALNT,2026-09-25,True,10_wk_ema_touch_confirm,,,,,,,,,,,True,ma10_touch_confirm,101.15,10_wk_ema_touch_confirm,"{""confirm_date"": ""2026-09-21"", ""ma10_prior_week"": 96.86, ""pending_high"": 101.15, ""touch_date"": ""2026-09-07""}",0.0,,,,,,,,,daily_volume_not_confirmed,116.01,14.69,UNCONFIRMED,1.0323337493606686,46.6,2026-05-25,66.9,3,1,69.5,2026-02-16,-20.7,1,14,20.7,2,8.0,-26.8,-1.3,True,False,83.21927997619756,118.67,-2.2415100699418544,Producer Manufacturing,Electrical Products,TV_DIRECT,resolved,,
AMD,2026-09-25,True,pivot,,,,,,,,,,,True,pivot,572.5,pivot,"{""pivot_candidates"": [{""box_type"": ""M_BOX"", ""price"": 572.5, ""resistance_date"": ""2026-09-21""}], ""selected_pivot"": {""box_type"": ""M_BOX"", ""price"": 572.5, ""resistance_date"": ""2026-09-21""}}",1.0,2026-09-21,583.88,572.5,1.8832084498314368,0.0751441048034933,0.9660081348053436,1.249854735618823,pivot,,630.63,10.15,EXTENDED,1.137022610582582,126.5,2026-04-13,136.1,1,1,267.0799,2025-10-27,-29.5,2,24,29.5,4,11.0,-25.9,10.2,True,False,158.803738317757,639.0,-1.3098591549295824,Electronic Technology,Semiconductors,TV_DIRECT,resolved,,
AMRX,2026-09-25,True,pivot,,,,,,,,,,,True,pivot,19.26,pivot,"{""pivot_candidates"": [{""box_type"": ""M_BOX"", ""price"": 19.26, ""resistance_date"": ""2026-09-21""}, {""box_type"": ""S_BOX"", ""price"": 19.26, ""resistance_date"": ""2026-09-21""}], ""selected_pivot"": {""box_type"": ""M_BOX"", ""price"": 19.26, ""resistance_date"": ""2026-09-21""}}",1.0,2026-09-21,19.26,19.26,3.0188122971416473,0.0467289719626167,0.5770833333333335,0.374999999999999,pivot,,19.77,2.65,ACTIONABLE,1.6273028351365817,22.0,2026-06-08,31.9,1,1,14.99,2026-02-09,-21.9,2,17,21.9,2,8.0,-13.1,2.6,True,True,152.8057553956834,21.175,-6.635182998819367,Health Technology,Pharmaceuticals: Major,TV_DIRECT,resolved,,
ANET,2026-09-25,True,ceiling_breakout,,,,,,,,,,,False,ceiling_pullback,206.13,ceiling_breakout,"{""abandon_line"": 176.204, ""atr_zone_width"": 6.887037362669786, ""ceiling"": 179.8, ""confirm_close"": 206.55, ""confirm_date"": ""2026-09-21"", ""max_zone_width"": 8.99, ""pending_high"": 206.13, ""touch_atr14"": 22.956791208899286, ""touch_date"": ""2026-08-17"", ""touch_high"": 202.265, ""touch_low"": 182.83, ""zone_cap_applied"": false, ""zone_pct"": 3.8303878546550534, ""zone_upper"": 186.6870373626698, ""zone_width"": 6.887037362669786}",0.0,,,,,,,,,daily_volume_not_confirmed,206.55,0.2,UNCONFIRMED,0.7033589486844611,14.5,2026-07-27,14.9,2,0,179.8,2026-04-20,-24.8,1,14,24.8,2,3.0,-7.3,2.9,True,False,35.9553775743707,214.89,-3.8810554237051376,Electronic Technology,Computer Peripherals,TV_DIRECT,resolved,,
AVT,2026-09-25,True,pivot,,,,,,,,,,,False,pivot,100.0,pivot,"{""pivot_candidates"": [{""box_type"": ""S_BOX"", ""price"": 100.0, ""resistance_date"": ""2026-09-21""}]}",0.0,,,,,,,,,daily_volume_not_confirmed,103.075,3.08,UNCONFIRMED,1.1220927514264365,65.2,2026-01-26,78.7,7,2,57.68,2024-05-20,-32.0,7,88,32.0,6,3.0,-9.0,3.2,True,False,1987.4301675977656,104.5799,-1.438995447499947,Distribution Services,Electronics Distributors,TV_DIRECT,resolved,,
BATRA,2026-09-25,True,ceiling_breakout,,,,,,,,,,,,ceiling,57.83,ceiling_breakout,,0.0,,,,,,,,,daily_volume_not_confirmed,59.03,2.08,UNCONFIRMED,0.7886434585465434,0.0,2026-09-21,2.1,0,0,57.83,2026-06-29,-11.8,2,12,11.8,0,,,,True,False,-140.49692078997666,59.2,-0.2871621621621689,Consumer Services,Movies/Entertainment,TV_DIRECT,resolved,,
BIIB,2026-09-25,True,pivot,,,,,,,,,,,False,pivot,219.72,pivot,"{""pivot_candidates"": [{""box_type"": ""M_BOX"", ""price"": 219.72, ""resistance_date"": ""2026-09-21""}, {""box_type"": ""S_BOX"", ""price"": 225.8, ""resistance_date"": ""2026-09-21""}]}",0.0,,,,,,,,,daily_volume_not_confirmed,227.6,3.59,UNCONFIRMED,1.2452853275884976,12.1,2026-07-27,12.4,1,0,202.41,2026-02-02,-16.7,2,25,16.7,1,4.0,-7.5,0.8,True,False,-84.84701423553336,229.19,-0.6937475457044373,Health Technology,Pharmaceuticals: Major,TV_DIRECT,resolved,,
