ticker,code,vol_ratio_1w,eps_growth,close,open|1W,high|1W,low|1W,volume|1W,market_cap_basic,price_52_week_high,High.All,change|1W,sector,industry
NASDAQ:RFAI,RFAI,44.739989357800056,-82.21415607985482,58.0,9.28,73.0,8.94,3464110,483938330.0,73.0,73.0,422.9936880072136,Finance,Financial Conglomerates
NASDAQ:AMLX,AMLX,5.313713809907613,16.003441600344154,38.66,21.96,41.14,21.28,46695444,4307615093.0,41.14,41.9297,78.7332408691632,Health Technology,Pharmaceuticals: Major
NASDAQ:SAIH,SAIH,4.6452791960177855,,24.0,19.8235,24.7,18.12,138021,43448641.0,24.7,189.0,19.940029985007488,Technology Services,Data Processing Services
NYSE:VIRT,VIRT,2.4755041650354936,-0.939792639301526,67.93,59.57,68.68,56.7508,14640625,10542751743.999998,68.68,68.68,13.178940353215602,Finance,Investment Banks/Brokers
NASDAQ:BDSX,BDSX,2.194752422518349,54.83375959079284,26.63,23.88,27.105,21.91,876558,280976261.00000006,27.105,639.8,10.95833333333333,Health Services,Medical/Nursing Services
NYSE:ASIC,ASIC,2.062803318771248,65.91639871382637,25.84,24.58,26.38,23.675,691469,1238431865.0,26.38,26.38,4.615384615384618,Finance,Property/Casualty Insurance
NASDAQ:CARL,CARL,2.0333476116861156,-46.7350037965072,16.05,14.29,17.23,13.71,1371861,438208987.99999994,17.23,17.23,12.081005586592182,Technology Services,Information Technology Services
NYSE:GNK,GNK,1.9725959540865836,,26.52,25.55,27.76,25.41,3206478,1155916786.0,27.76,210.91000366,0.6833712984054658,Transportation,Marine Shipping
NASDAQ:CTNM,CTNM,1.9577686555146643,34.71101065547303,17.19,14.15,17.35,14.15,3849037,646707304.0,17.35,22.0,21.14164904862581,Health Technology,Biotechnology
NASDAQ:NDSN,NDSN,1.9556959223096604,23.037027014837875,332.24,307.39,338.545,302.915,3560222,18505557322.0,338.545,338.545,7.618554029541326,Producer Manufacturing,Industrial Machinery
NASDAQ:HTFL,HTFL,1.9022200795922493,-65.18585675430644,49.75,41.23,50.48,40.67,15666260,4325943019.999999,50.48,50.48,18.227186311787076,Technology Services,Packaged Software
NYSE:NMM,NMM,1.7991078297437557,146.75546448087434,88.78,81.88,89.81,81.46,927251,2523537699.9999995,89.81,323.2383,8.42696629213484,Transportation,Marine Shipping
NASDAQ:EDRY,EDRY,1.7417675597767646,,46.85,37.315,46.85,36.6101,656804,134299783.0,46.85,46.85,28.110473065354117,Transportation,Marine Shipping
NYSE:MRK,MRK,1.726859678191455,-130.68233424159857,152.55,134.95,154.49,134.55,83718950,376367039817.0,154.49,154.49,12.301236749116613,Health Technology,Pharmaceuticals: Major
NYSE:TGT,TGT,1.6760377044452794,100.27287788714551,165.44,153.45,165.48,146.21,33674820,75141381919.0,165.48,268.98,7.094769549456246,Retail Trade,Specialty Stores
NASDAQ:PSNL,PSNL,1.6716343303452268,-32.61253309796999,18.38,13.9,18.89,13.68,32609564,1962981583.0,18.89,53.46,30.91168091168091,Health Services,Medical/Nursing Services
NYSE:TRGP,TRGP,1.6232804027356347,22.863002746202252,299.1,276.85,307.94,273.83,9447970,64136317900.0,307.94,307.94,8.45208310671163,Utilities,Gas Distributors
NASDAQ:ETON,ETON,1.6049959849228739,,63.47,59.15,64.0,56.65,3993625,1814171652.0,64.0,64.0,7.832144070676179,Health Technology,Pharmaceuticals: Major
NASDAQ:SBLK,SBLK,1.596006217831162,432900.0,30.5,29.05,31.0,29.0,9874870,3472347000.0,31.0,1102.553738,4.991394148020651,Transportation,Marine Shipping
NYSE:AII,AII,1.5823744239145017,7.532852119193047,25.35,24.4,26.405,24.36,1053352,496693398.99999994,26.405,26.405,5.669028761984173,Finance,Property/Casualty Insurance
NYSE:DK,DK,1.5772773037016692,,71.47,65.53,72.0,63.13,9433920,4376263545.0,72.0,72.0,9.164502825721705,Energy Minerals,Oil Refining/Marketing
NYSE:TBBB,TBBB,1.5765408656264306,-46.43696162881753,50.66,47.39,51.03,46.5,4856796,5500845073.000001,51.03,51.03,6.0054404687173,Retail Trade,Food Retail
NYSE:SSMR,SSMR,1.5333719874506977,,18.64,15.9,19.37,15.5,1392648,2679064010.4,19.37,19.37,16.064757160647584,Non-Energy Minerals,Precious Metals
NASDAQ:XNCR,XNCR,1.4633017212829444,30.987951807228914,27.8,23.215,28.16,22.79,7326264,2067024496.0,28.16,58.345,19.108826049700088,Health Technology,Biotechnology
NASDAQ:PHVS,PHVS,1.4277220767840915,13.303628262253337,36.27,34.71,36.9325,34.71,3351584,2533955909.0,36.9325,42.86,3.2157085941946573,Health Technology,Biotechnology
NYSE:HAE,HAE,1.4148252331325804,2.628587666950849,108.8,90.09,109.5707,89.06,5708198,4950079314.0,109.5707,142.11,19.823788546255507,Health Technology,Medical Specialties
NYSE:GEO,GEO,1.366099298443059,73.64864864864865,32.71,31.33,32.92,30.075,13270670,4305276444.0,32.92,36.46,4.772581678411282,Commercial Services,Miscellaneous Commercial Services
NYSE:OVV,OVV,1.3619297366449952,37.04990256714395,66.82,63.31,67.44,62.74,21701254,18409150540.0,67.44,276.7176,6.029831799428736,Energy Minerals,Integrated Oil
NASDAQ:PAGP,PAGP,1.2870406647062747,1196.7656765676568,26.84,25.85,27.17,25.685,8753978,5311746853.0,27.17,86.76445,3.8699690402476783,Industrial Services,Oil & Gas Pipelines
NYSE:TNK,TNK,1.2127861782767215,258.99911229471815,91.02,86.1,94.44,85.815,2111831,3156583705.0,94.44,209.12,6.918830024668156,Transportation,Marine Shipping
