ticker,code,close,open|1W,high|1W,low|1W,volume|1W,market_cap_basic,relative_volume_10d_calc|1W,change|1W,sector
AMEX:TRT,TRT,16.52,7.05,19.1,6.6,39953943,144543671.0,133.74694161476046,134.32624113475177,Producer Manufacturing
NASDAQ:MXL,MXL,60.32,26.5,63.52,26.5,55793293,5401412247.999999,10.314769360283925,129.6155310239817,Electronic Technology
NASDAQ:POET,POET,15.1,7.315,15.5,7.315,313093533,2308521311.0000005,7.0050146156574495,107.98898071625345,Producer Manufacturing
NASDAQ:RDCM,RDCM,15.77,12.96,16.49,12.77,1921106,263964207.0,6.860472964407145,22.628304821150856,Technology Services
NASDAQ:AOSL,AOSL,44.45,35.66,45.9699,34.53,8900215,1322868659.0,5.35136547614488,31.198347107438014,Electronic Technology
NASDAQ:FSTR,FSTR,32.03,29.99,32.51,28.79,1218766,334988640.99999994,5.289163162303029,6.766666666666671,Producer Manufacturing
NASDAQ:INBX,INBX,129.06,87.1,155.29,80.83,5255852,1885184107.0,5.181937363638792,46.27677660659639,Health Technology
NYSE:WOLF,WOLF,31.23,25.62,32.77,24.65,35839988,1408117201.0,4.1874069465622785,22.183098591549303,Electronic Technology
NASDAQ:TBRG,TBRG,25.77,23.28,25.85,22.55,3555838,384148889.0,4.061338137108616,10.838709677419352,Health Services
NYSE:BMI,BMI,121.83,116.48,125.81,112.09,7279495,3555678018.0,3.3492283955871405,5.444002077202693,Producer Manufacturing
NASDAQ:NVTS,NVTS,17.28,12.13,19.79,11.93,304323223,3988099231.0,3.0539979606690997,40.25974025974027,Electronic Technology
NASDAQ:WLAC,WLAC,16.89,14.07,17.3,12.95,4612335,213658500.0,2.9223421796402813,18.943661971831,Commercial Services
AMEX:INTT,INTT,18.36,16.07,19.75,16.0,2094299,229418185.99999997,2.890070726245327,15.544367526746376,Electronic Technology
NASDAQ:SIRI,SIRI,26.61,25.47,28.77,25.37,54758964,8955604313.0,2.8691389020485265,4.434850863422287,Consumer Services
NASDAQ:NCSM,NCSM,78.77,75.36,87.355,69.03,313126,206733662.0,2.676988445705932,4.573514769332881,Industrial Services
NASDAQ:PLRZ,PLRZ,15.56,11.38,15.74,11.17,489299,27740804.0,2.645640280861261,36.37160385626644,Health Technology
AMEX:ELLO,ELLO,25.2,24.6102,25.5,23.68,34458,347245529.3485985,2.5090837599120386,0.7999999999999973,Utilities
NASDAQ:MCRI,MCRI,114.98,100.02,118.0,97.83,1441513,2039754663.0,2.501646056112031,14.92253873063469,Consumer Services
NASDAQ:SILC,SILC,30.57,29.09,32.845,25.6501,552893,174143995.0,2.476035355491794,6.515679442508715,Electronic Technology
NASDAQ:COEP,COEP,16.4,14.36,17.27,13.9,522142,102060827.0,2.463424323143571,11.945392491467564,Health Technology
NASDAQ:INTG,INTG,36.58,33.8,36.58,30.9,196719,78603549.0,2.4441302432836394,9.849849849849853,Consumer Services
NASDAQ:CHMG,CHMG,66.83,64.33,70.83,64.33,75727,322018136.00000006,2.4190606402315336,6.383317414836036,Finance
NYSE:OKLO,OKLO,71.0,65.53,81.5,62.22,101515511,12323383850.0,2.3906848966774454,6.271516240083816,Producer Manufacturing
NASDAQ:HELE,HELE,23.62,18.74,25.0,18.49,6412517,549347028.0,2.3869597486881435,25.238600212089086,Consumer Durables
NASDAQ:VELO,VELO,17.36,10.96,18.05,10.9,23978493,455124040.0,2.358618539352069,54.1740674955595,Producer Manufacturing
NASDAQ:COHU,COHU,46.93,41.33,47.58,41.0801,8997396,2205037958.9999995,2.337978369935623,13.742123121667479,Electronic Technology
NASDAQ:LYTS,LYTS,22.1,20.36,23.095,20.0985,3124656,688043641.0,2.337247400825659,8.12133072407045,Producer Manufacturing
NYSE:ZWS,ZWS,52.47,47.24,53.7,47.16,10688635,8755768926.0,2.3009775365989875,9.8848167539267,Producer Manufacturing
NASDAQ:AFBI,AFBI,22.41,22.35,22.43,22.35,176114,136586369.0,2.26017543521923,0.08932559178204365,Finance
NASDAQ:UBCP,UBCP,16.235,15.9465,17.0,15.78,132304,93462498.00000001,2.238547881142285,3.0139593908629423,Finance
NYSE:KN,KN,30.61,29.84,31.95,28.6,6585822,2618063039.0,2.235921563408389,3.098686426406191,Electronic Technology
NYSE:RCUS,RCUS,25.5,24.22,28.72,20.25,12064399,3196411732.0,2.186297482145994,5.154639175257731,Health Technology
NASDAQ:BATRA,BATRA,53.66,52.74,54.58,52.59,653098,3181148289.0000005,2.184991860202916,1.5903067020068087,Consumer Services
NYSE:MAS,MAS,74.18,65.64,76.1,65.03,28827913,14964660527.0,2.1705863608127474,11.414839291078414,Producer Manufacturing
NASDAQ:USAR,USAR,21.86,21.4,25.95,21.27,136370413,4764959117.0,2.160461585616177,9.573934837092732,Producer Manufacturing
NYSE:PBI,PBI,15.58,12.84,15.625,12.72,29446362,2236325032.0,2.1411087943802802,21.33956386292835,Technology Services
NASDAQ:RYM,RYM,29.65,26.0,34.0,25.202,144951,63722237.00000001,2.138264116207473,18.127490039840623,Producer Manufacturing
NASDAQ:SCHL,SCHL,40.34,39.68,43.39,37.63,5835744,877087456.0000001,2.1106116051116945,1.4332411365350775,Consumer Services
NYSE:SXT,SXT,123.15,100.06,124.0,94.18,3506919,5240194545.000001,2.1081092486277435,22.830640335128667,Consumer Non-Durables
