code,snapshot_date,signal,signal_source,pullback_v_is_dry,ibd_candidate_rule,ibd_candidate_price,ibd_candidate_signal_source,ibd_candidate_extra,ibd_entry_valid,ibd_entry_date,ibd_entry_price,ibd_trigger_price,ibd_entry_volume_ratio,ibd_entry_close_vs_trigger_pct,ibd_entry_close_position,ibd_entry_breakout_range_ratio,ibd_entry_rule,ibd_entry_reject_reason,latest_close,current_vs_ibd_candidate_pct,ibd_entry_status,volume_ratio,hold_return,breakout_date,pct_above_ceiling,touched_ema10_count,mbox_count,ceiling,ceiling_date,base_depth_pct,base_mbox_count,base_duration_weeks,base_depth_abs,C_continuous,rank_C_continuous,pullback_count,pullback_duration_weeks,pullback_pct,pullback_pct_off_peak,is_bullish,is_priority,eps_yoy_growth,price_52_week_high,dist_to_52w_high_pct,sector,industry
RLYB,2026-05-08,True,ceiling_breakout,,ceiling,9.76,ceiling_breakout,,1.0,2026-05-04,14.02,9.76,61.05137805869488,0.4467213114754098,0.6470588235294114,3.2058823529411775,ceiling,,14.38,47.34,EXTENDED,5.909594527287328,0.0,2026-05-04,47.3,0,0,9.76,2024-11-25,-82.0,5,75,82.0,5.6875,1.0,0,,,,True,True,,17.5738,-18.173644857685865,Health Technology,Biotechnology
LIFE,2026-05-08,True,ceiling_breakout,,ceiling,19.0,ceiling_breakout,,1.0,2026-05-06,21.09,19.0,1.7493000269869114,0.2168421052631579,0.9509433962264154,1.554716981132077,ceiling,,29.75,56.58,EXTENDED,1.8957017738402335,0.0,2026-05-04,56.6,0,0,19.0,2026-01-26,-50.3,1,14,50.3,5.522058823529411,2.0,0,,,,True,True,4.254594962559568,35.69,-16.643317455869987,Technology Services,Packaged Software
SYRE,2026-05-08,True,pivot,False,pivot,75.0,pivot,"{""pivot_candidates"": [{""box_type"": ""S_BOX"", ""price"": 75.0, ""resistance_date"": ""2026-05-04""}]}",0.0,,,,,,,,,daily_volume_not_confirmed,75.04,0.05,UNCONFIRMED,0.9975313572089816,46.3,2026-04-06,57.6,0,0,47.61,2024-03-11,-77.1,7,108,77.1,4.952205882352941,3.0,1,4.0,-10.0,0.1,True,False,29.37675648867581,108.14,-30.608470501202145,Health Technology,Pharmaceuticals: Major
MEC,2026-05-08,True,ceiling_breakout,,ceiling,23.02,ceiling_breakout,,1.0,2026-05-06,23.75,23.02,1.9279661016949152,0.0143353605560383,0.6916167664670666,0.0988023952095814,ceiling,,27.2,18.16,EXTENDED,1.796858614341311,0.0,2026-05-04,18.2,0,0,23.02,2024-10-28,-49.1,7,79,49.1,4.863970588235294,4.0,0,,,,True,True,-71.96261682242991,38.76,-29.824561403508763,Producer Manufacturing,Industrial Machinery
MKSI,2026-05-08,True,three_weeks_tight_breakout,False,three_weeks_tight,293.83,three_weeks_tight_breakout,"{""breakout_price"": 312.97, ""close_pos_healthy"": true, ""hl_is_tight"": true, ""max_hl_pct"": 0.1019, ""mean_close_pos"": 0.7, ""mean_hl_pct"": 0.0905, ""min_close_pos"": 0.52, ""status"": ""breakout"", ""tight_weeks"": 3, ""twk_high"": 293.83}",1.0,2026-05-07,315.93,293.83,1.9139621549260104,0.0229044005036926,0.1614046391752576,0.2168170103092792,three_weeks_tight,,312.97,6.51,EXTENDED,1.6418999180204448,100.5,2025-11-24,115.3,3,1,145.38,2024-07-08,-62.6,4,72,62.6,4.768382352941177,5.0,3,3.0,-11.2,6.5,True,True,161.68061745841936,447.62,-30.08131897591707,Producer Manufacturing,Industrial Machinery
ASYS,2026-05-08,True,ceiling_breakout,,ceiling,18.47,ceiling_breakout,,1.0,2026-05-08,21.28,18.47,4.469545268969807,0.1635083919870059,0.2674772036474162,0.9179331306990882,ceiling,,21.49,16.35,EXTENDED,1.652463638111104,0.0,2026-05-04,16.4,0,0,18.47,2026-01-26,-45.7,1,14,45.7,4.650735294117647,6.0,0,,,,True,True,1297.2972972972973,25.7075,-16.40571817562968,Producer Manufacturing,Industrial Machinery
TWLO,2026-05-08,True,10_wk_ema_touch_confirm,,ma10_touch_confirm,184.13,10_wk_ema_touch_confirm,"{""confirm_date"": ""2026-05-04"", ""ma10_prior_week"": 133.343, ""pending_high"": 184.13, ""touch_date"": ""2026-04-27""}",1.0,2026-05-04,184.13,184.13,2.368844613418462,0.0300874382229945,0.7197039777983348,0.5124884366327466,ma10_touch_confirm,,201.7,9.54,EXTENDED,1.503706060851128,10.0,2026-04-27,32.7,1,0,151.95,2025-01-27,-49.0,5,65,49.0,4.5661764705882355,7.0,0,,,,True,True,4659.40170940171,258.3525,-21.92837305619262,Technology Services,Packaged Software
MPTI,2026-05-08,True,ceiling_breakout,,ceiling,71.0,ceiling_breakout,,1.0,2026-05-08,77.26,71.0,1.9496002618168216,0.1436619718309859,0.4168278529980658,0.9864603481624756,ceiling,,81.2,14.37,EXTENDED,0.9490688295799538,0.0,2026-05-04,14.4,0,0,71.0,2024-12-02,-51.4,4,74,51.4,4.514705882352941,8.0,0,,,,True,False,-16.395032984090022,104.85,-22.55603242727705,Electronic Technology,Electronic Production Equipment
AMN,2026-05-08,True,ceiling_breakout,,ceiling,21.38,ceiling_breakout,,1.0,2026-05-07,21.38,21.38,1.9322990748039297,0.0500467726847522,0.8011049723756908,0.5911602209944757,ceiling,,28.97,35.5,EXTENDED,1.7640708572550174,0.0,2026-05-04,35.5,0,0,21.38,2025-10-20,-30.0,2,28,30.0,4.463235294117647,9.0,0,,,,True,True,,37.22,-22.165502418054807,Commercial Services,Personnel Services
AMAT,2026-05-08,True,10_wk_ema_touch_confirm,False,ma10_touch_confirm,416.48,10_wk_ema_touch_confirm,"{""confirm_date"": ""2026-05-04"", ""ma10_prior_week"": 367.926, ""pending_high"": 416.48, ""touch_date"": ""2026-04-27""}",0.0,,,,,,,,,daily_volume_not_confirmed,434.9,4.42,UNCONFIRMED,1.1192048665815986,62.7,2025-12-01,72.8,3,1,251.65,2024-07-08,-51.3,4,73,51.3,4.41360294117647,10.0,5,3.0,-10.3,3.6,True,False,42.90866468307637,739.67,-41.20350967323265,Producer Manufacturing,Industrial Machinery
