eps_mode,snapshot_date,variant,pick_order,code,entry_status,lane,industry,eps_state,eps_yoy_growth,reason_codes,risk_codes,latest_return_pct,max_gain_pct,max_drawdown_pct,hit_stop_8pct,path_source,latest_rank,gain_rank,loss_rank,signal_valid_count,hit_latest_top3,hit_latest_top5,hit_gain_top5,hit_loss_bottom3,hit_loss_bottom5
no_eps,2025-10-10,signal_shadow_top3,1,GSK,UNCONFIRMED,incomplete_evidence,Unknown,missing,,geometry_caution_not_failure;near_buy_point;eps_needs_manual_check;near_52w_high,non_actionable_radar_only;entry_volume_missing,,,,False,missing,,,,,False,False,False,False,False
no_eps,2025-10-10,signal_shadow_top3,2,RIOT,UNCONFIRMED,incomplete_evidence,Information Technology Services,missing,,geometry_caution_not_failure;near_buy_point;eps_needs_manual_check,non_actionable_radar_only;entry_volume_missing,,,,False,missing,,,,,False,False,False,False,False
no_eps,2025-10-10,signal_shadow_top3,3,GH,UNCONFIRMED,incomplete_evidence,Medical Specialties,missing,,geometry_caution_not_failure;near_buy_point;eps_needs_manual_check;pullback_structure,non_actionable_radar_only;entry_volume_missing;pullback_not_dry,147.068993,177.510608,-4.13327,False,daily_cache,1.0,2.0,3.0,3.0,True,True,True,True,True
no_eps,2025-10-24,v3_core_top3,1,IBM,ACTIONABLE,fresh_demand_alpha,Unknown,missing,,near_buy_point;volume_confirms_breakout;eps_needs_manual_check;weekly_volume_follow_through;near_52w_high,,,,,False,missing,,,,,False,False,False,False,False
no_eps,2025-10-24,v3_core_top3,2,AAPL,ACTIONABLE,standard_breakout,Telecommunications Equipment,missing,,geometry_caution_not_failure;near_buy_point;volume_confirms_breakout;eps_needs_manual_check;near_52w_high,,18.037657,32.830465,-6.335365,False,daily_cache,11.0,9.0,3.0,13.0,False,False,False,True,True
no_eps,2025-10-24,research_fresh_demand_proximity_first,1,IBM,ACTIONABLE,fresh_demand_alpha,Unknown,missing,,near_buy_point;volume_confirms_breakout;eps_needs_manual_check;weekly_volume_follow_through;near_52w_high,,,,,False,missing,,,,,False,False,False,False,False
no_eps,2025-10-24,research_fresh_demand_proximity_first,2,AAPL,ACTIONABLE,standard_breakout,Telecommunications Equipment,missing,,geometry_caution_not_failure;near_buy_point;volume_confirms_breakout;eps_needs_manual_check;near_52w_high,,18.037657,32.830465,-6.335365,False,daily_cache,11.0,9.0,3.0,13.0,False,False,False,True,True
no_eps,2025-10-24,research_pullback_vcp_lane_interleave,1,IBM,ACTIONABLE,fresh_demand_alpha,Unknown,missing,,near_buy_point;volume_confirms_breakout;eps_needs_manual_check;weekly_volume_follow_through;near_52w_high,,,,,False,missing,,,,,False,False,False,False,False
no_eps,2025-10-24,research_pullback_vcp_lane_interleave,2,AAPL,ACTIONABLE,standard_breakout,Telecommunications Equipment,missing,,geometry_caution_not_failure;near_buy_point;volume_confirms_breakout;eps_needs_manual_check;near_52w_high,,18.037657,32.830465,-6.335365,False,daily_cache,11.0,9.0,3.0,13.0,False,False,False,True,True
no_eps,2025-10-24,research_proximity_structural_floor_guard,1,IBM,ACTIONABLE,fresh_demand_alpha,Unknown,missing,,near_buy_point;volume_confirms_breakout;eps_needs_manual_check;weekly_volume_follow_through;near_52w_high,,,,,False,missing,,,,,False,False,False,False,False
