code,snapshot_date,signal,signal_source,pullback_v_is_dry,ibd_candidate_rule,ibd_candidate_price,ibd_candidate_signal_source,ibd_candidate_extra,ibd_entry_valid,ibd_entry_date,ibd_entry_price,ibd_trigger_price,ibd_entry_volume_ratio,ibd_entry_close_vs_trigger_pct,ibd_entry_close_position,ibd_entry_breakout_range_ratio,ibd_entry_rule,ibd_entry_reject_reason,latest_close,current_vs_ibd_candidate_pct,ibd_entry_status,volume_ratio,hold_return,breakout_date,pct_above_ceiling,touched_ema10_count,mbox_count,ceiling,ceiling_date,base_depth_pct,base_mbox_count,base_duration_weeks,base_depth_abs,C_continuous,rank_C_continuous,pullback_count,pullback_duration_weeks,pullback_pct,pullback_pct_off_peak,is_bullish,is_priority,eps_yoy_growth,price_52_week_high,dist_to_52w_high_pct,sector,industry
VECO,2026-06-12,True,pivot,False,pivot,60.28,pivot,"{""pivot_candidates"": [{""box_type"": ""S_BOX"", ""price"": 60.28, ""resistance_date"": ""2026-06-08""}], ""selected_pivot"": {""box_type"": ""S_BOX"", ""price"": 60.28, ""resistance_date"": ""2026-06-08""}}",1.0,2026-06-09,63.0,60.28,2.817455136295716,0.114631718646317,0.4771709937332137,0.6186213070725153,pivot,,77.48,28.53,EXTENDED,1.6070473477125775,49.8,2026-04-20,61.9,0,0,47.87,2024-07-01,-64.7,3,94,64.7,5.160102739726027,1.0,3,4.0,-8.7,28.5,True,True,,78.6,-1.4249363867684384,Electronic Technology,Electronic Production Equipment
TNGX,2026-06-12,True,pivot,True,pivot,26.81,pivot,"{""pivot_candidates"": [{""box_type"": ""S_BOX"", ""price"": 24.3, ""resistance_date"": ""2026-06-08""}, {""box_type"": ""M_BOX"", ""price"": 26.81, ""resistance_date"": ""2026-06-08""}], ""selected_pivot"": {""box_type"": ""M_BOX"", ""price"": 26.81, ""resistance_date"": ""2026-06-08""}}",1.0,2026-06-08,30.0,26.81,7.533221043330595,0.153674002237971,0.7554517133956387,0.6417445482866043,pivot,,30.94,15.4,EXTENDED,2.9901689293991724,82.5,2026-03-02,137.5,1,1,13.03,2023-10-02,-92.1,7,126,92.1,4.955479452054795,2.0,3,9.0,-27.9,15.4,True,True,,32.79,-5.641964013418721,Health Technology,Biotechnology
OCC,2026-06-12,True,ceiling_breakout,False,ceiling_pullback,16.05,ceiling_breakout,"{""abandon_line"": 11.2112, ""atr_zone_width"": 0.8991255588273878, ""ceiling"": 11.44, ""confirm_close"": 22.91, ""confirm_date"": ""2026-06-08"", ""max_zone_width"": 0.572, ""pending_high"": 16.05, ""touch_atr14"": 2.9970851960912928, ""touch_date"": ""2026-06-01"", ""touch_high"": 16.05, ""touch_low"": 11.8, ""zone_cap_applied"": true, ""zone_pct"": 5.0, ""zone_upper"": 12.011999999999999, ""zone_width"": 0.572}",1.0,2026-06-08,19.61,16.05,64.5408405919202,0.1838006230529594,0.3987975951903805,0.591182364729459,ceiling_pullback,,22.91,42.74,EXTENDED,6.528122865357044,94.5,2026-05-11,100.3,2,0,11.44,2025-10-06,-64.9,2,31,64.9,4.866438356164384,3.0,1,3.0,-27.3,41.2,True,True,,27.98,-18.120085775553964,Electronic Technology,Telecommunications Equipment
ICHR,2026-06-12,True,pivot,False,pivot,75.35,pivot,"{""pivot_candidates"": [{""box_type"": ""S_BOX"", ""price"": 75.35, ""resistance_date"": ""2026-06-08""}]}",0.0,,,,,,,,,daily_volume_not_confirmed,86.8,15.2,UNCONFIRMED,1.2020751135448862,80.4,2026-03-30,86.9,1,0,46.43,2024-02-12,-71.7,9,111,71.7,4.698630136986301,4.0,2,6.0,-17.5,15.2,True,False,,88.1,-1.4755959137343844,Producer Manufacturing,Industrial Machinery
ASYS,2026-06-12,True,pivot,False,pivot,22.8,pivot,"{""pivot_candidates"": [{""box_type"": ""S_BOX"", ""price"": 22.8, ""resistance_date"": ""2026-06-08""}], ""selected_pivot"": {""box_type"": ""S_BOX"", ""price"": 22.8, ""resistance_date"": ""2026-06-08""}}",1.0,2026-06-12,23.51,22.8,3.639732025899173,0.0521929824561402,0.4068965517241375,0.4103448275862058,pivot,,23.99,5.22,EXTENDED,1.728362955038448,11.6,2026-05-04,29.9,0,0,18.47,2026-01-26,-45.7,1,14,45.7,4.690068493150685,5.0,2,4.0,-19.1,5.2,True,True,,25.71,-6.690003889537155,Producer Manufacturing,Industrial Machinery
UCTT,2026-06-12,True,pivot,False,pivot,87.68,pivot,"{""pivot_candidates"": [{""box_type"": ""S_BOX"", ""price"": 87.68, ""resistance_date"": ""2026-06-08""}]}",0.0,,,,,,,,,daily_volume_not_confirmed,108.9,24.2,UNCONFIRMED,1.177292912089258,88.8,2026-03-16,94.4,2,0,56.03,2024-07-08,-70.3,7,88,70.3,4.688356164383562,6.0,2,6.0,-17.6,24.2,True,False,,110.25,-1.2244897959183598,Producer Manufacturing,Industrial Machinery
AMBQ,2026-06-12,True,pivot,False,pivot,81.85,pivot,"{""pivot_candidates"": [{""box_type"": ""S_BOX"", ""price"": 81.85, ""resistance_date"": ""2026-06-08""}]}",0.0,,,,,,,,,daily_volume_not_confirmed,84.72,3.51,UNCONFIRMED,0.9065861934879208,109.8,2026-04-27,126.5,0,0,37.41,2026-01-12,-39.2,2,15,39.2,4.63013698630137,7.0,1,4.0,-9.2,3.5,True,False,,89.33,-5.16064032240009,Electronic Technology,Semiconductors
CXW,2026-06-12,True,ceiling_breakout,,ceiling,24.99,ceiling_breakout,,1.0,2026-06-10,25.26,24.99,2.300086288600003,0.0584233693477391,0.7248677248677252,0.7724867724867727,ceiling,,27.1,8.44,EXTENDED,1.5553826552552468,0.0,2026-06-08,8.4,0,0,24.99,2024-11-04,-49.3,6,83,49.3,4.623287671232877,8.0,0,,,,True,True,,27.29,-0.6962257237083103,Commercial Services,Miscellaneous Commercial Services
ELVN,2026-06-12,True,pivot,True,pivot,43.05,pivot,"{""pivot_candidates"": [{""box_type"": ""S_BOX"", ""price"": 43.05, ""resistance_date"": ""2026-06-08""}], ""selected_pivot"": {""box_type"": ""S_BOX"", ""price"": 43.05, ""resistance_date"": ""2026-06-08""}}",1.0,2026-06-12,43.05,43.05,6.35587260746005,0.0715447154471546,0.8528708133971296,0.3684210526315796,pivot,,46.13,7.15,EXTENDED,2.873858393480968,18.8,2026-03-23,53.6,1,0,30.03,2024-10-14,-55.7,4,75,55.7,4.5770547945205475,9.0,1,9.0,-31.1,-4.9,True,True,,48.53,-4.9453946012775525,Health Technology,Biotechnology
BJRI,2026-06-12,True,ceiling_breakout,,ceiling,47.02,ceiling_breakout,,1.0,2026-06-10,47.02,47.02,1.7327133036797413,0.0295618885580601,0.8683274021352299,0.4946619217081823,ceiling,,52.62,11.91,EXTENDED,1.3214484300352916,0.0,2026-06-08,11.9,0,0,47.02,2025-06-30,-39.5,2,49,39.5,4.5479452054794525,10.0,0,,,,True,True,,53.53,-1.699981318886612,Consumer Services,Restaurants
